local,total_base,elegiveis,zeros_elegiveis,presentes_sem_nota,notas_fora_presentes,soma_notas,media,minimo_observado,maximo_observado,nivel,area,q1,mediana,q3,pct_elegiveis_base
Brasil,4810772,3260336,775,0,0,1630083985.5,499.97423133689136,0.0,858.7,Brasil,CN,443.5,498.2,550.9,67.77157595496108
Brasil,4810772,3457555,9087,0,0,1767464212.2,511.18903739779194,0.0,856.4,Brasil,CH,446.6,513.0,574.0,71.87110509498268
Brasil,4810772,3457555,2361,0,0,1839843028.7,532.1225631118106,0.0,794.5,Brasil,LC,490.3,538.8,581.6,71.87110509498268
Brasil,4810772,3260336,893,0,0,1695315590.6,519.9818640164765,0.0,980.3,Brasil,MT,416.5,500.0,606.8,67.77157595496108
Centro-Oeste,388030,253159,59,0,0,127769159.0,504.69925619868087,0.0,858.7,Região,CN,447.7,502.7,556.0,65.24212045460402
Nordeste,1737630,1225462,258,0,0,600405925.4,489.9425077236313,0.0,858.7,Região,CN,435.1,488.1,538.2,70.52491036641862
Norte,560912,351465,82,0,0,167371243.4,476.2102724311074,0.0,858.7,Região,CN,421.2,473.6,525.0,62.65956157115555
Sudeste,1631402,1102581,278,0,0,566665897.8,513.9449145232942,0.0,858.7,Região,CN,457.8,512.9,566.3,67.58487484997566
Sul,492798,327669,98,0,0,167871759.9,512.3211530538559,0.0,858.7,Região,CN,457.8,511.8,563.4,66.49154420269562
Centro-Oeste,388030,271902,832,0,0,140005668.1,514.9122408073516,0.0,840.8,Região,CH,451.7,517.1,576.9,70.07241708115352
Nordeste,1737630,1285359,3401,0,0,637321901.3,495.83182698374895,0.0,856.4,Região,CH,431.8,492.0,556.7,73.97196181005162
Norte,560912,377494,1286,0,0,183412982.8,485.86992852866257,0.0,856.4,Região,CH,424.9,482.4,543.7,67.30003993496307
Sudeste,1631402,1168120,2645,0,0,619275114.9,530.1468298633547,0.0,856.4,Região,CH,470.0,536.5,591.2,71.60221698882312
Sul,492798,354680,923,0,0,187448545.1,528.5004654900105,0.0,856.4,Região,CH,472.1,534.8,586.6,71.97269469437782
Centro-Oeste,388030,271902,258,0,0,145569744.1,535.3757754632127,0.0,794.5,Região,LC,495.12500000000006,541.2,583.2,70.07241708115352
Nordeste,1737630,1285359,833,0,0,666229490.1,518.3217218691484,0.0,794.5,Região,LC,474.5,524.5,567.8,73.97196181005162
Norte,560912,377494,294,0,0,189488295.8,501.9637286950242,0.0,794.5,Região,LC,454.8,508.7,552.9,67.30003993496307
Sudeste,1631402,1168120,721,0,0,643544662.1,550.9234172002639,0.0,794.5,Região,LC,513.4,556.8,596.1,71.60221698882312
Sul,492798,354680,255,0,0,195010836.6,549.821914401718,0.0,794.5,Região,LC,514.0,554.6,592.9,71.97269469437782
Centro-Oeste,388030,253159,73,0,0,132647280.5,523.9682590782857,0.0,980.3,Região,MT,420.0,504.2,610.6,65.24212045460402
Nordeste,1737630,1225462,297,0,0,609330342.7,497.2249997959836,0.0,980.3,Região,MT,401.0,472.5,572.7,70.52491036641862
Norte,560912,351465,116,0,0,165530507.3,470.9729483732331,0.0,980.3,Região,MT,389.0,446.2,530.6,62.65956157115555
Sudeste,1631402,1102581,301,0,0,608153060.1,551.5722292511475,0.0,980.3,Região,MT,447.4,541.4,644.7,67.58487484997566
Sul,492798,327669,106,0,0,179654400.0,548.2801241496737,0.0,980.3,Região,MT,447.4,537.3,638.5,66.49154420269562
AC,28957,17699,3,0,0,8504653.7,480.5160574043762,0.0,806.0,UF,CN,426.35,477.5,528.2,61.12166315571364
AL,96480,67384,13,0,0,32796568.4,486.71151015078067,0.0,858.7,UF,CN,431.8,485.0,534.9,69.8424543946932
AM,110831,60052,9,0,0,28322590.3,471.63442183440895,0.0,858.7,UF,CN,415.7,466.7,519.525,54.18339634217863
AP,33190,21392,5,0,0,10239430.6,478.6570026177987,0.0,775.3,UF,CN,425.6,476.6,526.9,64.45314853871648
BA,427983,286432,45,0,0,139960255.4,488.63344668193884,0.0,858.7,UF,CN,436.0,487.6,536.1,66.92602276258637
CE,275902,207949,60,0,0,102320205.3,492.0447095201263,0.0,852.4,UF,CN,434.9,490.3,542.2,75.3706026052729
DF,82955,56958,14,0,0,29602257.2,519.7207977808157,0.0,858.7,UF,CN,459.0,516.4,575.2,68.66132240371286
ES,85910,56655,18,0,0,29049473.8,512.7433377460101,0.0,858.7,UF,CN,457.3,512.0,564.5,65.9469211966011
GO,166747,110488,26,0,0,55505024.5,502.36246922743226,0.0,858.7,UF,CN,446.3,501.0,552.9,66.26086226438856
MA,211370,144338,21,0,0,68288319.3,473.1139360390265,0.0,858.7,UF,CN,419.0,469.7,520.5,68.28689028717415
MG,464937,309272,84,0,0,158380322.0,512.1068897281422,0.0,858.7,UF,CN,455.0,510.4,565.4,66.51911979472487
MS,57932,38129,11,0,0,19063059.2,499.96221248918096,0.0,841.8,UF,CN,444.1,498.6,550.9,65.81681971967134
MT,80396,47584,8,0,0,23598818.1,495.9401920813697,0.0,826.0,UF,CN,441.6,494.7,545.5,59.1870242300612
PA,289328,189777,51,0,0,89919242.8,473.8152821469344,0.0,858.7,UF,CN,418.8,471.3,522.5,65.59233810761489
PB,142035,101308,20,0,0,50424706.5,497.7366693647108,0.0,858.7,UF,CN,444.8,496.2,544.1,71.32608159960573
PE,272279,192897,53,0,0,95507319.0,495.12081058803363,0.0,858.7,UF,CN,442.3,493.8,542.8,70.8453461339288
PI,120032,86011,15,0,0,41529668.6,482.84136447663866,0.0,858.7,UF,CN,425.4,477.7,530.5,71.6567248733671
PR,195836,132452,39,0,0,67703164.3,511.1524499441346,0.0,858.7,UF,CN,455.7,510.5,562.4,67.63414285422496
RJ,328943,222154,62,0,0,112986350.6,508.5947162778907,0.0,858.7,UF,CN,451.3,507.4,561.6,67.53571287426698
RN,113208,82099,17,0,0,41498822.2,505.4729314607983,0.0,858.7,UF,CN,451.8,504.0,553.3,72.52049325136032
RO,46798,29470,2,0,0,14325823.0,486.1154733627435,0.0,826.0,UF,CN,434.8,487.1,534.6,62.97277661438523
RR,14158,8261,3,0,0,4080050.5,493.8930516886567,0.0,819.7,UF,CN,436.2,491.0,545.3,58.348636813109195
RS,186503,121950,39,0,0,62274611.0,510.6569167691673,0.0,858.7,UF,CN,455.9,510.1,561.7,65.38768813370294
SC,110459,73267,20,0,0,37893984.6,517.2039881529131,0.0,858.7,UF,CN,465.6,516.9,567.6,66.32958835404992
SE,78341,57044,14,0,0,28080060.7,492.2526593506807,0.0,858.7,UF,CN,435.1,488.5,540.3,72.81500108500019
SP,751612,514500,114,0,0,266249751.4,517.492228182705,0.0,858.7,UF,CN,462.7,516.7,568.9,68.45287196053283
TO,37650,24814,9,0,0,11979452.5,482.76990811638456,0.0,802.5,UF,CN,426.5,480.4,532.7,65.9070385126162
AC,28957,18991,82,0,0,9374119.9,493.60854615344124,0.0,795.9,UF,CH,435.15,493.7,551.4,65.58345132437752
AL,96480,70880,235,0,0,34831431.1,491.4140956546324,0.0,814.9,UF,CH,428.77500000000003,486.3,551.8,73.46600331674959
AM,110831,65626,256,0,0,31901703.0,486.11378112333574,0.0,856.4,UF,CH,425.7,482.4,544.0,59.21267515406339
AP,33190,22944,62,0,0,11286565.3,491.91794368898303,0.0,772.1,UF,CH,433.6,489.8,547.6,69.12925579993974
BA,427983,302415,819,0,0,149313976.9,493.73866011937525,0.0,856.4,UF,CH,430.3,490.2,554.6,70.66051688968955
CE,275902,216181,465,0,0,108190956.6,500.46468746096826,0.0,856.4,UF,CH,433.7,497.9,563.7,78.35427071931338
DF,82955,60673,210,0,0,32430818.8,534.5181349199812,0.0,814.9,UF,CH,469.4,540.6,600.7,73.13965402929298
ES,85910,60911,170,0,0,32005848.9,525.4526916320502,0.0,813.6,UF,CH,466.0,531.7,585.8,70.90094284716564
GO,166747,118643,309,0,0,60630142.0,511.0300818421605,0.0,840.8,UF,CH,449.0,512.7,571.2,71.15150497460225
MA,211370,152518,440,0,0,73433788.5,481.4762093654495,0.0,833.2,UF,CH,422.1,475.0,537.1,72.15688129819748
MG,464937,326835,580,0,0,172483842.3,527.7398145853416,0.0,833.5,UF,CH,466.1,532.6,589.4,70.29662083249988
MS,57932,40989,138,0,0,20881625.3,509.4446144087465,0.0,835.4,UF,CH,450.0,511.5,568.7,70.7536422012014
MT,80396,51597,175,0,0,26063082.0,505.1278562707105,0.0,814.6,UF,CH,442.5,506.6,567.1,64.17856609781582
PA,289328,202633,670,0,0,97668432.8,481.99667773757585,0.0,856.4,UF,CH,420.3,477.5,539.3,70.03573798595366
PB,142035,105666,277,0,0,53167871.1,503.1691471239652,0.0,819.3,UF,CH,438.8,501.1,563.9,74.39433942338157
PE,272279,202852,614,0,0,101225496.2,499.0115759272766,0.0,856.4,UF,CH,436.9,496.9,558.7,74.50152233554553
PI,120032,89161,165,0,0,43489432.0,487.76294568252774,0.0,835.4,UF,CH,423.1,479.3,546.7,74.281025059984
PR,195836,142507,326,0,0,74795447.0,524.8545474959136,0.0,833.5,UF,CH,467.2,530.5,583.3,72.76854102412223
RJ,328943,235563,655,0,0,123830516.8,525.6789767493217,0.0,856.4,UF,CH,463.0,531.2,588.8,71.61210300872796
RN,113208,85759,244,0,0,43833525.6,511.1244953882372,0.0,831.6,UF,CH,446.9,512.1,573.2,75.75348031941206
RO,46798,31620,91,0,0,15558554.4,492.0478937381368,0.0,802.2,UF,CH,433.7,492.1,549.8,67.5669900423095
RR,14158,9030,31,0,0,4530763.0,501.7456256921393,0.0,792.1,UF,CH,440.62500000000006,500.1,562.4,63.780194942788526
RS,186503,132433,384,0,0,70147582.0,529.683553192926,0.0,856.4,UF,CH,473.0,535.7,588.3,71.00850924650005
SC,110459,79740,213,0,0,42505516.1,533.0513681966448,0.0,856.4,UF,CH,479.5,540.6,589.6,72.18968123919282
SE,78341,59927,142,0,0,29835423.3,497.86278805880613,0.0,856.4,UF,CH,432.6,493.1,559.5,76.49506644030585
SP,751612,544811,1240,0,0,290954906.9,534.04741625994,0.0,856.4,UF,CH,476.1,541.3,593.6,72.485670798231
TO,37650,26650,94,0,0,13092844.4,491.28872045028146,0.0,812.6,UF,CH,430.5,487.5,551.0,70.78353253652058
AC,28957,18991,13,0,0,9762271.4,514.0472539623989,0.0,752.2,UF,LC,473.6,520.9,561.1,65.58345132437752
AL,96480,70880,50,0,0,36456025.7,514.3344483634285,0.0,794.5,UF,LC,471.07500000000005,520.6,563.2,73.46600331674959
AM,110831,65626,38,0,0,33036944.8,503.4124401913854,0.0,757.2,UF,LC,454.6,510.7,556.3,59.21267515406339
AP,33190,22944,13,0,0,11722964.3,510.93812325662645,0.0,755.5,UF,LC,468.5,518.0,559.0,69.12925579993974
BA,427983,302415,204,0,0,156286364.9,516.7943551080323,0.0,794.5,UF,LC,473.9,523.6,565.5,70.66051688968955
CE,275902,216181,117,0,0,112870081.8,522.1091668555584,0.0,794.5,UF,LC,476.9,529.7,574.2,78.35427071931338
DF,82955,60673,66,0,0,33687010.5,555.2224300759816,0.0,794.5,UF,LC,515.2,560.1,602.7,73.13965402929298
ES,85910,60911,56,0,0,33048579.0,542.5716044720994,0.0,794.5,UF,LC,505.4,548.7,588.0,70.90094284716564
GO,166747,118643,101,0,0,63041656.3,531.3558853029662,0.0,794.5,UF,LC,490.8,537.3,578.9,71.15150497460225
MA,211370,152518,97,0,0,76530293.3,501.7787625067291,0.0,772.7,UF,LC,456.2,507.8,550.8,72.15688129819748
MG,464937,326835,209,0,0,178269455.5,545.4417534841746,0.0,794.5,UF,LC,506.0,550.9,591.7,70.29662083249988
MS,57932,40989,49,0,0,21719442.9,529.8846739369094,0.0,794.5,UF,LC,491.6,536.3,576.1,70.7536422012014
MT,80396,51597,42,0,0,27121634.4,525.6436304436248,0.0,765.7,UF,LC,486.0,533.0,573.5,64.17856609781582
PA,289328,202633,175,0,0,100409799.1,495.5254035621124,0.0,764.4,UF,LC,446.5,501.4,546.6,70.03573798595366
PB,142035,105666,71,0,0,55404201.5,524.3332907463135,0.0,794.5,UF,LC,483.2,529.5,571.4,74.39433942338157
PE,272279,202852,159,0,0,106288085.3,523.9686337822584,0.0,794.5,UF,LC,482.0,529.7,571.925,74.50152233554553
PI,120032,89161,37,0,0,45546520.6,510.83456443960466,0.0,794.5,UF,LC,462.6,515.1,561.8,74.281025059984
PR,195836,142507,111,0,0,77811227.6,546.0168805742912,0.0,794.5,UF,LC,509.5,551.2,589.7,72.76854102412223
RJ,328943,235563,150,0,0,128990521.5,547.5839647992384,0.0,794.5,UF,LC,508.8,553.1,593.5,71.61210300872796
RN,113208,85759,70,0,0,45739505.0,533.3493277673517,0.0,794.5,UF,LC,493.3,538.5,579.7,75.75348031941206
RO,46798,31620,26,0,0,16197627.2,512.2589247311853,0.0,763.4,UF,LC,472.0,520.3,559.2,67.5669900423095
RR,14158,9030,6,0,0,4692226.2,519.626378737539,0.0,741.7,UF,LC,476.525,527.6,569.1,63.780194942788526
RS,186503,132433,98,0,0,73118375.7,552.1159809110977,0.0,794.5,UF,LC,515.8,556.7,595.8,71.00850924650005
SC,110459,79740,46,0,0,44081233.3,552.812055430141,0.0,794.5,UF,LC,519.0,557.2,593.725,72.18968123919282
SE,78341,59927,28,0,0,31108412.0,519.1051112186493,0.0,794.5,UF,LC,474.6,524.7,567.9,76.49506644030585
SP,751612,544811,306,0,0,303236106.1,556.5895440804426,0.0,794.5,UF,LC,520.8,562.6,600.2,72.485670798231
TO,37650,26650,23,0,0,13666462.8,512.8128630393978,0.0,794.5,UF,LC,470.3,518.8,562.0,70.78353253652058
AC,28957,17699,6,0,0,8480307.6,479.1404938132087,0.0,939.4,UF,MT,394.0,456.6,546.55,61.12166315571364
AL,96480,67384,20,0,0,33192821.8,492.59203668526607,0.0,967.7,UF,MT,397.3,466.0,565.9,69.8424543946932
AM,110831,60052,17,0,0,27900519.8,464.60600479584457,0.0,959.3,UF,MT,383.57500000000005,438.4,520.5,54.18339634217863
AP,33190,21392,7,0,0,9977369.0,466.4065538519064,0.0,942.3,UF,MT,386.0,442.25,524.6,64.45314853871648
BA,427983,286432,63,0,0,139476057.5,486.9430004329129,0.0,980.3,UF,MT,396.0,462.4,557.6,66.92602276258637
CE,275902,207949,53,0,0,106312332.0,511.2423334567662,0.0,980.3,UF,MT,408.9,489.9,593.9,75.3706026052729
DF,82955,56958,24,0,0,31212086.5,547.9842427753792,0.0,980.3,UF,MT,434.3,529.8,647.9,68.66132240371286
ES,85910,56655,21,0,0,30882623.2,545.0996946430156,0.0,980.3,UF,MT,442.6,534.0,634.7,65.9469211966011
GO,166747,110488,26,0,0,57647859.5,521.7567473390756,0.0,980.3,UF,MT,420.7,504.0,605.9,66.26086226438856
MA,211370,144338,24,0,0,67857466.1,470.1289064556777,0.0,980.3,UF,MT,386.7,444.5,529.5,68.28689028717415
MG,464937,309272,85,0,0,169543911.3,548.2032363097869,0.0,980.3,UF,MT,442.5,536.2,641.8,66.51911979472487
MS,57932,38129,8,0,0,19574958.4,513.3876681790723,0.0,980.3,UF,MT,413.3,492.6,595.1,65.81681971967134
MT,80396,47584,15,0,0,24212376.1,508.83440021856325,0.0,967.7,UF,MT,409.7,487.5,589.3,59.1870242300612
PA,289328,189777,67,0,0,88638338.1,467.0657566512244,0.0,980.3,UF,MT,388.0,442.6,522.9,65.59233810761489
PB,142035,101308,20,0,0,51200324.3,505.3927064002774,0.0,980.3,UF,MT,406.7,481.8,583.8,71.32608159960573
PE,272279,192897,61,0,0,98466586.3,510.4619890407916,0.0,980.3,UF,MT,412.6,489.7,590.1,70.8453461339288
PI,120032,86011,13,0,0,42267139.8,491.4155142946839,0.0,980.3,UF,MT,394.4,461.5,564.2,71.6567248733671
PR,195836,132452,40,0,0,72141160.8,544.6589013378397,0.0,980.3,UF,MT,444.0,533.0,633.7,67.63414285422496
RJ,328943,222154,67,0,0,119432835.2,537.6128055312986,0.0,980.3,UF,MT,432.3,521.5,630.1,67.53571287426698
RN,113208,82099,20,0,0,42331183.0,515.6114325387691,0.0,980.3,UF,MT,414.6,494.8,600.3,72.52049325136032
RO,46798,29470,6,0,0,14385789.8,488.15031557515823,0.0,959.3,UF,MT,400.5,469.15,558.8,62.97277661438523
RR,14158,8261,4,0,0,4067074.8,492.3223338578865,0.0,940.6,UF,MT,399.2,468.1,564.6,58.348636813109195
RS,186503,121950,42,0,0,66960440.1,549.0810996309935,0.0,980.3,UF,MT,447.32500000000005,537.9,640.3,65.38768813370294
SC,110459,73267,24,0,0,40552799.1,553.4933749164051,0.0,967.7,UF,MT,454.0,544.3,644.4,66.32958835404992
SE,78341,57044,23,0,0,28226431.9,494.81859441834285,0.0,967.7,UF,MT,400.1,469.4,567.3,72.81500108500019
SP,751612,514500,128,0,0,288293690.4,560.3375906705543,0.0,980.3,UF,MT,459.0,553.4,652.6,68.45287196053283
TO,37650,24814,9,0,0,12081108.2,486.866615620215,0.0,959.3,UF,MT,396.5,462.55,557.0,65.9070385126162
