nivel,local,total_base,presentes_dia1,presentes_dia2,presentes_ambos,somente_primeiro_ausente_segundo,somente_segundo_ausente_primeiro,ausentes_ambos,demais_situacoes,retencao_percentual,retencao_denominador,diferenca_liquida_dia2_menos_dia1,presente_dia1_sem_presenca_completa_dia2,presente_dia2_sem_presenca_completa_dia1,pct_presentes_ambos_base,pct_somente_primeiro_ausente_segundo_base,pct_somente_segundo_ausente_primeiro_base,pct_ausentes_ambos_base,pct_demais_situacoes_base,taxa_presenca_dia1,presente_dia1,ausente_dia1,eliminado_dia1,misto_dia1,dados_ausentes_dia1,codigo_invalido_dia1,taxa_presenca_dia2,presente_dia2,ausente_dia2,eliminado_dia2,misto_dia2,dados_ausentes_dia2,codigo_invalido_dia2
Brasil,Brasil,4810772,3457555,3260336,3244348,211292,15146,1332913,7073,93.83359049964498,3457555,-197219,213207,15988,67.43923844239552,4.392060151676279,0.31483512417549614,27.70684206193933,0.14702421981336883,71.87110509498268,3457555,1348087,5130,0,0,0,67.77157595496108,3260336,1548487,1949,0,0,0
Região,Centro-Oeste,388030,271902,253159,251704,20004,1394,114308,620,92.5715882928408,271902,-18743,20198,1455,64.8671494472077,5.155271499626317,0.35925057340927247,29.458547019560342,0.15978146019637657,70.07241708115352,271902,115703,425,0,0,0,65.24212045460402,253159,134676,195,0,0,0
Região,Nordeste,1737630,1285359,1225462,1219792,64878,5341,445074,2545,94.89893485010802,1285359,-59897,65567,5670,70.19860384546767,3.733706255071563,0.3073726857846607,25.61385335197942,0.1464638616966788,73.97196181005162,1285359,450426,1845,0,0,0,70.52491036641862,1225462,511466,702,0,0,0
Região,Norte,560912,377494,351465,349208,28048,2185,180550,921,92.5069007719328,377494,-26029,28286,2257,62.25718116210742,5.000427874604216,0.3895441709216419,32.188649912998834,0.16419687936788657,67.30003993496307,377494,182740,678,0,0,0,62.65956157115555,351465,209203,244,0,0,0
Região,Sudeste,1631402,1168120,1102581,1097279,70240,5008,456653,2222,93.93546895866864,1168120,-65539,70841,5302,67.25987831325449,4.305499196396719,0.3069752274424084,27.991445394819916,0.13620186808646795,71.60221698882312,1168120,461670,1612,0,0,0,67.58487484997566,1102581,528208,613,0,0,0
Região,Sul,492798,354680,327669,326365,28122,1218,136328,765,92.01674749069583,354680,-27011,28315,1304,66.22693273917508,5.706597835218487,0.24716009399388797,27.664073311985845,0.15523601962670303,71.97269469437782,354680,137548,570,0,0,0,66.49154420269562,327669,164934,195,0,0,0
UF,AC,28957,18991,17699,17615,1368,83,9853,38,92.75446264019799,18991,-1292,1376,84,60.831577856822186,4.724246296232344,0.2866319024760852,34.026314880685156,0.1312290637842318,65.58345132437752,18991,9936,30,0,0,0,61.12166315571364,17699,11250,8,0,0,0
UF,AL,96480,70880,67384,67057,3791,304,25184,144,94.6063769751693,70880,-3496,3823,327,69.50352404643449,3.929311774461028,0.3150912106135987,26.102819237147596,0.14925373134328357,73.46600331674959,70880,25490,110,0,0,0,69.8424543946932,67384,29062,34,0,0,0
UF,AM,110831,65626,60052,59264,6334,782,44332,119,90.30567153262426,65626,-5574,6362,788,53.47240393030831,5.715007533993197,0.7055787640642058,39.99963909014626,0.10737068148803133,59.21267515406339,65626,45116,89,0,0,0,54.18339634217863,60052,50749,30,0,0,0
UF,AP,33190,22944,21392,21294,1633,92,10108,63,92.80857740585775,22944,-1552,1650,98,64.15787887918047,4.920156673696897,0.2771919252786984,30.45495631214221,0.1898162097017174,69.12925579993974,22944,10201,45,0,0,0,64.45314853871648,21392,11780,18,0,0,0
