nivel,local,dia1,dia2,quantidade,percentual_base,denominador_origem,percentual_origem
Brasil,Brasil,presente,presente,3244348,67.43923844239552,3457555,93.83359049964498
Brasil,Brasil,presente,ausente,211292,4.392060151676279,3457555,6.111023541201803
Brasil,Brasil,presente,eliminado,1915,0.03980650091087252,3457555,0.05538595915321665
Brasil,Brasil,presente,misto,0,0.0,3457555,0.0
Brasil,Brasil,presente,dados_ausentes,0,0.0,3457555,0.0
Brasil,Brasil,presente,codigo_invalido,0,0.0,3457555,0.0
Brasil,Brasil,ausente,presente,15146,0.31483512417549614,1348087,1.123517992533123
Brasil,Brasil,ausente,ausente,1332913,27.70684206193933,1348087,98.87440499018238
Brasil,Brasil,ausente,eliminado,28,0.0005820271673652378,1348087,0.0020770172844927666
Brasil,Brasil,ausente,misto,0,0.0,1348087,0.0
Brasil,Brasil,ausente,dados_ausentes,0,0.0,1348087,0.0
Brasil,Brasil,ausente,codigo_invalido,0,0.0,1348087,0.0
Brasil,Brasil,eliminado,presente,842,0.017502388390054652,5130,16.413255360623783
Brasil,Brasil,eliminado,ausente,4282,0.08900858323778388,5130,83.46978557504873
Brasil,Brasil,eliminado,eliminado,6,0.00012472010729255097,5130,0.11695906432748537
Brasil,Brasil,eliminado,misto,0,0.0,5130,0.0
Brasil,Brasil,eliminado,dados_ausentes,0,0.0,5130,0.0
Brasil,Brasil,eliminado,codigo_invalido,0,0.0,5130,0.0
Brasil,Brasil,misto,presente,0,0.0,0,
Brasil,Brasil,misto,ausente,0,0.0,0,
Brasil,Brasil,misto,eliminado,0,0.0,0,
Brasil,Brasil,misto,misto,0,0.0,0,
Brasil,Brasil,misto,dados_ausentes,0,0.0,0,
Brasil,Brasil,misto,codigo_invalido,0,0.0,0,
Brasil,Brasil,dados_ausentes,presente,0,0.0,0,
Brasil,Brasil,dados_ausentes,ausente,0,0.0,0,
Brasil,Brasil,dados_ausentes,eliminado,0,0.0,0,
Brasil,Brasil,dados_ausentes,misto,0,0.0,0,
Brasil,Brasil,dados_ausentes,dados_ausentes,0,0.0,0,
Brasil,Brasil,dados_ausentes,codigo_invalido,0,0.0,0,
Brasil,Brasil,codigo_invalido,presente,0,0.0,0,
Brasil,Brasil,codigo_invalido,ausente,0,0.0,0,
Brasil,Brasil,codigo_invalido,eliminado,0,0.0,0,
Brasil,Brasil,codigo_invalido,misto,0,0.0,0,
Brasil,Brasil,codigo_invalido,dados_ausentes,0,0.0,0,
Brasil,Brasil,codigo_invalido,codigo_invalido,0,0.0,0,
Região,Centro-Oeste,presente,presente,251704,64.8671494472077,271902,92.5715882928408
Região,Centro-Oeste,presente,ausente,20004,5.155271499626317,271902,7.357062471037359
Região,Centro-Oeste,presente,eliminado,194,0.04999613431951138,271902,0.07134923612183801
Região,Centro-Oeste,presente,misto,0,0.0,271902,0.0
Região,Centro-Oeste,presente,dados_ausentes,0,0.0,271902,0.0
Região,Centro-Oeste,presente,codigo_invalido,0,0.0,271902,0.0
Região,Centro-Oeste,ausente,presente,1394,0.35925057340927247,115703,1.2048088640743975
Região,Centro-Oeste,ausente,ausente,114308,29.458547019560342,115703,98.79432685410059
Região,Centro-Oeste,ausente,eliminado,1,0.00025771203257480093,115703,0.0008642818250175017
Região,Centro-Oeste,ausente,misto,0,0.0,115703,0.0
Região,Centro-Oeste,ausente,dados_ausentes,0,0.0,115703,0.0
Região,Centro-Oeste,ausente,codigo_invalido,0,0.0,115703,0.0
Região,Centro-Oeste,eliminado,presente,61,0.015720433987062857,425,14.352941176470589
Região,Centro-Oeste,eliminado,ausente,364,0.09380717985722753,425,85.6470588235294
Região,Centro-Oeste,eliminado,eliminado,0,0.0,425,0.0
Região,Centro-Oeste,eliminado,misto,0,0.0,425,0.0
