dia,area_a,area_b,codigo_a,codigo_b,status,quantidade,percentual_base
1,LC,CH,0,0,ausente,1348087,28.022259213282194
1,LC,CH,0,1,misto,0,0.0
1,LC,CH,0,2,misto,0,0.0
1,LC,CH,1,0,misto,0,0.0
1,LC,CH,1,1,presente,3457555,71.87110509498268
1,LC,CH,1,2,misto,0,0.0
1,LC,CH,2,0,misto,0,0.0
1,LC,CH,2,1,misto,0,0.0
1,LC,CH,2,2,eliminado,5130,0.10663569173513107
2,CN,MT,0,0,ausente,1548487,32.187910796853394
2,CN,MT,0,1,misto,0,0.0
2,CN,MT,0,2,misto,0,0.0
2,CN,MT,1,0,misto,0,0.0
2,CN,MT,1,1,presente,3260336,67.77157595496108
2,CN,MT,1,2,misto,0,0.0
2,CN,MT,2,0,misto,0,0.0
2,CN,MT,2,1,misto,0,0.0
2,CN,MT,2,2,eliminado,1949,0.04051324818553031
