dia1,dia2,quantidade,percentual_base,denominador_origem,percentual_origem
presente,presente,3244348,67.43923844239552,3457555,93.83359049964498
presente,ausente,211292,4.392060151676279,3457555,6.111023541201803
presente,eliminado,1915,0.03980650091087252,3457555,0.05538595915321665
presente,misto,0,0.0,3457555,0.0
presente,dados_ausentes,0,0.0,3457555,0.0
presente,codigo_invalido,0,0.0,3457555,0.0
ausente,presente,15146,0.31483512417549614,1348087,1.123517992533123
ausente,ausente,1332913,27.70684206193933,1348087,98.87440499018238
ausente,eliminado,28,0.0005820271673652378,1348087,0.0020770172844927666
ausente,misto,0,0.0,1348087,0.0
ausente,dados_ausentes,0,0.0,1348087,0.0
ausente,codigo_invalido,0,0.0,1348087,0.0
eliminado,presente,842,0.017502388390054652,5130,16.413255360623783
eliminado,ausente,4282,0.08900858323778388,5130,83.46978557504873
eliminado,eliminado,6,0.00012472010729255097,5130,0.11695906432748537
eliminado,misto,0,0.0,5130,0.0
eliminado,dados_ausentes,0,0.0,5130,0.0
eliminado,codigo_invalido,0,0.0,5130,0.0
misto,presente,0,0.0,0,
misto,ausente,0,0.0,0,
misto,eliminado,0,0.0,0,
misto,misto,0,0.0,0,
misto,dados_ausentes,0,0.0,0,
misto,codigo_invalido,0,0.0,0,
dados_ausentes,presente,0,0.0,0,
dados_ausentes,ausente,0,0.0,0,
dados_ausentes,eliminado,0,0.0,0,
dados_ausentes,misto,0,0.0,0,
dados_ausentes,dados_ausentes,0,0.0,0,
dados_ausentes,codigo_invalido,0,0.0,0,
codigo_invalido,presente,0,0.0,0,
codigo_invalido,ausente,0,0.0,0,
codigo_invalido,eliminado,0,0.0,0,
codigo_invalido,misto,0,0.0,0,
codigo_invalido,dados_ausentes,0,0.0,0,
codigo_invalido,codigo_invalido,0,0.0,0,
