nota,quantidade
0.0,211859
40.0,425
60.0,242
80.0,294
100.0,113
120.0,263
140.0,199
160.0,663
180.0,876
200.0,2229
220.0,2456
240.0,5629
260.0,5858
280.0,13389
300.0,13887
320.0,31322
340.0,32995
360.0,58190
380.0,52878
400.0,80962
420.0,69547
440.0,110379
460.0,95742
480.0,135637
500.0,110265
520.0,156643
540.0,132011
560.0,186741
580.0,157665
600.0,195801
620.0,149748
640.0,170997
660.0,118552
680.0,138114
700.0,94817
720.0,115204
740.0,80034
760.0,100320
780.0,72687
800.0,90831
820.0,66426
840.0,83235
860.0,61060
880.0,76827
900.0,58458
920.0,60038
940.0,38821
960.0,15376
980.0,840
1000.0,10
