codigo,rede,total_base,presentes,ausentes,eliminados,presenca_nula,presenca_invalida,notas_disponiveis,notas_nulas,presentes_sem_nota,notas_fora_presentes,elegiveis,zeros_elegiveis,media,minimo_observado,maximo_observado,area,nome_area,q1,mediana,q3,pct_presentes_base,pct_ausentes_base,pct_eliminados_base,pct_presenca_nula_base,pct_presenca_invalida_base,pct_elegiveis_base,pct_completude_base,pct_completude_presentes
1,Federal,74649,68618,5999,32,0,0,68618,6031,0,0,68618,3,535.70281704509,0.0,858.7,CN,Ciências da Natureza,489.2,538.5,584.3,91.92085627402912,8.036276440407775,0.04286728556310199,0.0,0.0,91.92085627402912,91.92085627402912,100.0
1,Federal,74649,70097,4480,72,0,0,70097,4552,0,0,70097,96,547.8713283022083,0.0,856.4,CH,Ciências Humanas,497.0,558.4,605.4,93.90212862864874,6.001419978834278,0.09645139251697947,0.0,0.0,93.90212862864874,93.90212862864874,100.0
1,Federal,74649,70097,4480,72,0,0,70097,4552,0,0,70097,29,563.981370101431,0.0,794.5,LC,Linguagens e Códigos,529.3,569.5,605.6,93.90212862864874,6.001419978834278,0.09645139251697947,0.0,0.0,93.90212862864874,93.90212862864874,100.0
1,Federal,74649,68618,5999,32,0,0,68618,6031,0,0,68618,3,586.9498396922131,0.0,980.3,MT,Matemática,489.4,588.5,680.4,91.92085627402912,8.036276440407775,0.04286728556310199,0.0,0.0,91.92085627402912,91.92085627402912,100.0
2,Estadual,1382565,964885,417106,574,0,0,964885,417680,0,0,964885,145,472.6116464656245,0.0,858.7,CN,Ciências da Natureza,422.6,472.7,520.2,69.78948548531172,30.168997479322854,0.04151703536542586,0.0,0.0,69.78948548531172,69.78948548531172,100.0
2,Estadual,1382565,1018248,362818,1499,0,0,1018248,364317,0,0,1018248,2222,483.66510103630935,0.0,832.8,CH,Ciências Humanas,427.7,482.6,539.4,73.64919551702813,26.242382817444387,0.10842166552747973,0.0,0.0,73.64919551702813,73.64919551702813,100.0
2,Estadual,1382565,1018248,362818,1499,0,0,1018248,364317,0,0,1018248,574,508.19522906011014,0.0,794.5,LC,Linguagens e Códigos,466.4,516.2,557.0,73.64919551702813,26.242382817444387,0.10842166552747973,0.0,0.0,73.64919551702813,73.64919551702813,100.0
2,Estadual,1382565,964885,417106,574,0,0,964885,417680,0,0,964885,215,480.6262270633238,0.0,980.3,MT,Matemática,397.4,462.3,548.6,69.78948548531172,30.168997479322854,0.04151703536542586,0.0,0.0,69.78948548531172,69.78948548531172,100.0
3,Municipal,9015,6619,2392,4,0,0,6619,2396,0,0,6619,1,500.2011935337661,0.0,793.1,CN,Ciências da Natureza,454.4,503.5,547.7,73.42207432057681,26.533555185801443,0.044370493621741544,0.0,0.0,73.42207432057681,73.42207432057681,100.0
3,Municipal,9015,6952,2054,9,0,0,6952,2063,0,0,6952,18,517.0536392405057,0.0,741.8,CH,Ciências Humanas,462.77500000000003,525.25,574.425,77.1159179145868,22.784248474764283,0.09983361064891846,0.0,0.0,77.1159179145868,77.1159179145868,100.0
3,Municipal,9015,6952,2054,9,0,0,6952,2063,0,0,6952,7,541.6775891829703,0.0,794.5,LC,Linguagens e Códigos,508.4,550.0,584.1,77.1159179145868,22.784248474764283,0.09983361064891846,0.0,0.0,77.1159179145868,77.1159179145868,100.0
3,Municipal,9015,6619,2392,4,0,0,6619,2396,0,0,6619,0,532.2559450067982,316.1,908.7,MT,Matemática,445.3,528.1,611.2,73.42207432057681,26.533555185801443,0.044370493621741544,0.0,0.0,73.42207432057681,73.42207432057681,100.0
4,Privada,272799,252481,20220,98,0,0,252481,20318,0,0,252481,27,551.9262289043429,0.0,858.7,CN,Ciências da Natureza,496.7,554.1,608.6,92.55202548396439,7.4120506306841305,0.03592388535148589,0.0,0.0,92.55202548396439,92.55202548396439,100.0
4,Privada,272799,257265,15339,195,0,0,257265,15534,0,0,257265,281,566.1947524925739,0.0,856.4,CH,Ciências Humanas,518.2,576.6,622.9,94.3056976015308,5.622821198024919,0.07148120044428315,0.0,0.0,94.3056976015308,94.3056976015308,100.0
4,Privada,272799,257265,15339,195,0,0,257265,15534,0,0,257265,86,577.584337939477,0.0,794.5,LC,Linguagens e Códigos,542.9,583.5,618.8,94.3056976015308,5.622821198024919,0.07148120044428315,0.0,0.0,94.3056976015308,94.3056976015308,100.0
4,Privada,272799,252481,20220,98,0,0,252481,20318,0,0,252481,37,620.3211271343216,0.0,980.3,MT,Matemática,525.9,627.4,715.4,92.55202548396439,7.4120506306841305,0.03592388535148589,0.0,0.0,92.55202548396439,92.55202548396439,100.0
